macro_zone-micro_zone,AP_ITISLI03_5.0,AP_SMART50,itis-wifi2,itis-wifi,wifi-itis,wifi-lab01,AP_ITISLI03_2.5,AP_SMART25,AP_ITISLI02,itis-pvt,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-65,-120,-120,-120,-120,-73,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-77,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-63,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-77,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-79,-120,-81,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-75,-77,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-83,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-79,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-63,-120,-120,
smartlab-1,-71,-69,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-69,-120,-120,
smartlab-1,-120,-120,-120,-63,-120,-69,-120,-69,-120,-120,
smartlab-1,-75,-71,-120,-120,-120,-77,-120,-71,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-69,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-77,-120,-77,-120,-120,
smartlab-1,-75,-69,-120,-120,-120,-73,-120,-65,-120,-77,
smartlab-1,-75,-120,-120,-81,-120,-73,-120,-120,-120,-120,
smartlab-1,-75,-75,-120,-120,-120,-73,-120,-120,-120,-120,
smartlab-1,-73,-120,-120,-120,-120,-120,-120,-73,-120,-120,
smartlab-1,-73,-120,-120,-120,-120,-75,-120,-120,-120,-75,
smartlab-1,-120,-75,-120,-75,-120,-120,-120,-79,-120,-120,
smartlab-1,-77,-79,-120,-120,-120,-120,-120,-77,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-75,-79,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-79,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-73,-79,-120,-75,-120,-73,-120,-120,-120,-77,
smartlab-1,-77,-69,-120,-75,-120,-73,-120,-73,-120,-120,
smartlab-1,-75,-75,-120,-73,-120,-120,-120,-120,-120,-120,
smartlab-1,-79,-73,-120,-75,-120,-73,-120,-75,-120,-120,
smartlab-1,-79,-120,-120,-120,-120,-77,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-79,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-71,-120,-120,-75,-120,-120,-120,-120,-120,-120,
smartlab-1,-61,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-77,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-77,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-1,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
